Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Afghanistan	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8,051.067	9,517.718	10,250.788	12,265.321	13,491.991	16,224.188	19,144.183	21,915.076	25,063.878	28,730.757	34,655.741	36,557.351	37,822.757	38,365.170	39,528.229	39,016.861	42,555.674	2013
Afghanistan	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	196.683	196.954	214.230	248.049	270.189	324.705	380.910	435.472	539.667	614.661	680.426	660.221	659.100	627.344	582.461	572.163	610.235	2013
Afghanistan	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	845.295	900.066	896.036	999.238	1,052.539	1,191.318	1,229.735	1,457.686	1,561.150	1,655.363	1,875.016	1,965.750	2,007.136	2,008.695	1,995.618	1,888.864	1,979.705	2013
Afghanistan	Unemployment rate	Percent of total labor force																																										
Afghanistan	Population	Persons	Millions	Source: Source: The 2012 revision to the UN World Population Prospects. Latest actual data: 2013 Primary domestic currency: Afghan Afghani Data last updated: 09/2017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.203	23.116	24.019	24.861	25.631	26.349	27.032	27.708	28.398	29.105	29.825	30.550	31.279	32.007	33.400	36.800	36.867	2013
Albania	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,693.589	6,789.241	6,846.932	6,779.052	6,556.923	6,559.660	6,632.786	6,452.765	6,235.094	6,717.617	6,050.466	6,008.666	19,688.957	46,587.111	71,261.110	85,130.977	105,541.554	105,239.731	123,012.536	142,690.679	162,251.412	184,123.189	200,095.796	222,968.140	243,696.866	267,031.938	291,636.221	325,091.661	366,664.675	390,752.872	425,552.917	447,689.081	459,526.455	466,324.606	482,954.103	495,642.572	512,078.944	540,806.224	574,396.915	2011
Albania	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	704.588	791.287	798.011	790.099	764.210	764.529	829.098	806.596	779.387	839.702	671.661	410.320	262.170	456.289	752.493	917.360	1,009.967	717.381	818.320	1,032.264	1,127.640	1,283.573	1,425.125	1,846.119	2,373.580	2,673.729	2,975.623	3,594.101	4,377.040	4,130.929	4,098.125	4,438.925	4,248.814	4,415.662	4,584.914	3,935.672	4,125.704	4,520.268	4,912.450	2011
Albania	Gross domestic product per capita, current prices	Purchasing power parity; international dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,008.069	2,275.386	2,435.057	2,507.898	2,595.254	2,583.982	2,729.431	2,722.631	2,723.592	3,047.458	2,846.309	2,155.357	2,065.753	2,329.302	2,655.585	2,948.514	3,247.921	2,961.109	3,278.088	3,781.164	4,162.267	4,653.652	4,954.286	5,352.427	5,827.209	6,379.655	7,007.894	7,682.668	8,485.749	8,896.741	9,385.743	9,849.795	10,190.221	10,477.717	10,877.529	11,273.455	11,820.515	12,471.736	13,193.740	2011
Albania	Unemployment rate	Percent of total labor force		Source: National Statistics Office Latest actual data: 2016 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 09/2017	5.028	4.224	2.813	3.335	4.410	5.853	5.430	5.164	6.033	6.721	8.457	8.900	26.500	22.300	18.400	12.900	12.300	14.900	17.700	18.400	16.800	16.440	15.751	15.000	14.400	14.100	13.800	13.400	13.100	13.800	14.000	14.000	13.400	16.000	17.500	17.100	15.200	14.000	13.750	2016
Albania	Population	Persons	Millions	Source: National Statistics Office. INSTAT Latest actual data: 2011 Primary domestic currency: Albanian lek Data last updated: 09/2017	2.762	2.817	2.877	2.935	2.996	3.059	3.120	3.182	3.246	3.309	3.306	3.248	3.217	3.201	3.137	3.141	3.168	3.148	3.129	3.109	3.089	3.060	3.051	3.040	3.027	3.011	2.993	2.970	2.947	2.928	2.913	2.905	2.900	2.895	2.889	2.881	2.876	2.876	2.874	2011
