"INDIC","Indicator","LOCATION","Country","CPL_COUNTRY","Country currency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPL","Comparative price levels","AUS","Australia","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","AUT","Austria","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,81,,
"CPL","Comparative price levels","BEL","Belgium","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,84,,
"CPL","Comparative price levels","CAN","Canada","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,85,,
"CPL","Comparative price levels","CZE","Czech Republic","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,54,,
"CPL","Comparative price levels","DNK","Denmark","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,106,,
"CPL","Comparative price levels","FIN","Finland","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,91,,
"CPL","Comparative price levels","FRA","France","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,82,,
"CPL","Comparative price levels","DEU","Germany","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,79,,
"CPL","Comparative price levels","GRC","Greece","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,63,,
"CPL","Comparative price levels","HUN","Hungary","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,46,,
"CPL","Comparative price levels","ISL","Iceland","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,123,,
"CPL","Comparative price levels","IRL","Ireland","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,92,,
"CPL","Comparative price levels","ITA","Italy","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,76,,
"CPL","Comparative price levels","JPN","Japan","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,74,,
"CPL","Comparative price levels","KOR","Korea","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,73,,
"CPL","Comparative price levels","LUX","Luxembourg","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,95,,
"CPL","Comparative price levels","MEX","Mexico","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,45,,
"CPL","Comparative price levels","NLD","Netherlands","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,84,,
"CPL","Comparative price levels","NZL","New Zealand","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,93,,
"CPL","Comparative price levels","NOR","Norway","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,103,,
"CPL","Comparative price levels","POL","Poland","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,43,,
"CPL","Comparative price levels","PRT","Portugal","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,63,,
"CPL","Comparative price levels","SVK","Slovak Republic","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,52,,
"CPL","Comparative price levels","ESP","Spain","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,70,,
"CPL","Comparative price levels","SWE","Sweden","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,92,,
"CPL","Comparative price levels","CHE","Switzerland","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,112,,
"CPL","Comparative price levels","TUR","Turkey","AUS","Australia AUD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,38,,
