user_id,trip_date,station_id
1,2025-06-08,S020
1,2025-06-04,S013
1,2025-06-10,S011
1,2025-06-11,S019
1,2025-06-22,S016
1,2025-06-28,S005
1,2025-06-29,S018
1,2025-07-02,S006
1,2025-07-10,S003
1,2025-07-11,S002
1,2025-07-10,S010
1,2025-07-20,S009
1,2025-08-03,S004
1,2025-08-15,S025
1,2025-08-13,S025
1,2025-08-14,S012
1,2025-08-29,S025
1,2025-08-27,S002
1,2025-08-25,S004
1,2025-08-27,S021
2,2025-06-15,S008
2,2025-06-14,S016
2,2025-06-09,S013
2,2025-06-10,S019
2,2025-06-12,S009
2,2025-06-09,S004
2,2025-06-19,S010
2,2025-06-19,S014
2,2025-06-16,S002
2,2025-06-20,S005
2,2025-06-19,S020
2,2025-06-28,S005
2,2025-07-03,S009
2,2025-07-02,S021
2,2025-07-04,S004
2,2025-07-05,S011
2,2025-07-13,S002
2,2025-07-14,S024
2,2025-07-16,S014
2,2025-07-22,S010
2,2025-07-26,S024
2,2025-07-28,S015
2,2025-08-02,S004
2,2025-07-31,S017
2,2025-08-08,S024
2,2025-08-04,S003
2,2025-08-06,S006
2,2025-08-16,S005
2,2025-08-15,S019
2,2025-08-16,S011
2,2025-08-28,S007
2,2025-08-26,S019
2,2025-09-04,S012
2,2025-09-04,S023
2,2025-09-05,S001
2,2025-09-01,S001
2,2025-09-05,S006
3,2025-06-02,S009
3,2025-06-06,S010
3,2025-06-07,S013
3,2025-06-11,S011
3,2025-06-15,S021
3,2025-06-28,S011
3,2025-07-03,S023
3,2025-07-12,S013
3,2025-07-11,S010
3,2025-07-08,S021
3,2025-07-18,S015
3,2025-07-27,S017
3,2025-07-23,S017
3,2025-07-28,S009
3,2025-08-04,S019
3,2025-08-09,S012
3,2025-08-17,S006
3,2025-08-15,S003
3,2025-08-13,S017
3,2025-08-22,S004
3,2025-08-30,S008
3,2025-08-29,S024
3,2025-09-04,S004
3,2025-09-02,S020
4,2025-06-03,S016
4,2025-06-08,S024
4,2025-06-06,S014
4,2025-06-09,S001
4,2025-06-12,S025
4,2025-06-11,S007
4,2025-06-17,S001
4,2025-06-22,S007
4,2025-06-21,S011
4,2025-06-18,S006
4,2025-06-21,S013
4,2025-06-19,S017
4,2025-06-21,S017
4,2025-06-19,S023
4,2025-06-22,S025
4,2025-06-27,S004
